"variant","world","budget","goal","threshold","length","width","height","deterministic","timeout"
pop,line,2,4,"<= Q(5, 1)",9,,,true,900000
pop,line,2,4,"<= Q(5, 2)",9,,,true,900000
pop,line,2,4,"<  Q(5, 2)",9,,,true,900000
pop,line,2,188,"<= Q(189, 1)",377,,,true,900000
pop,line,2,188,"<= Q(189, 2)",377,,,true,900000
pop,line,2,188,"<  Q(189, 2)",377,,,true,900000
pop,grid,2,575,"<= Q(26496, 575)",,24,24,true,900000
pop,grid,2,575,"<= Q(13248, 575)",,24,24,true,900000
pop,grid,2,575,"<  Q(13248, 575)",,24,24,true,900000
pop,maze,4,94,"<= Q(6232, 95)",,39,20,true,900000
pop,maze,4,94,"<= Q(3116, 95)",,39,20,true,900000
pop,maze,4,94,"<  Q(3116, 95)",,39,20,true,900000
