"variant","world","budget","goal","threshold","length","width","height","deterministic","timeout"
pop,line,2,5000,"<= Q(50010000,10000)",10001,,,true,180000
pop,line,2,5000,"<= Q(25005000,10000)",10001,,,true,180000
pop,line,2,5000,"<  Q(25005000,10000)",10001,,,true,180000
pop,grid,2,1295,"<= Q(90720,1295)",,36,36,true,180000
pop,grid,2,1295,"<= Q(45360,1295)",,36,36,true,180000
pop,grid,2,1295,"<  Q(45360,1295)",,36,36,true,180000
pop,maze,4,844,"<= Q(486382,845)",,339,170,true,180000
pop,maze,4,844,"<= Q(243191,845)",,339,170,true,180000
pop,maze,4,844,"<  Q(243191,845)",,339,170,true,180000

ssp,line,7500,7500,"<= Q(112515000,15000)",15001,,,true,180000
ssp,line,7500,7500,"<= Q(56257500,15000))",15001,,,true,180000
ssp,line,7500,7500,"<  Q(56257500,15000))",15001,,,true,180000
ssp,grid,99,9999,"<= Q(1980000,9999)",,100,100,true,180000
ssp,grid,99,9999,"<= Q(990000,9999)",,100,100,true,180000
ssp,grid,99,9999,"<  Q(990000,9999)",,100,100,true,180000
ssp,maze,1049,2619,"<= Q(4670412,2620)",,1049,525,true,180000
ssp,maze,1049,2619,"<= Q(2335206,2620)",,1049,525,true,180000
ssp,maze,1049,2619,"<  Q(2335206,2620)",,1049,525,true,180000
