"variant","world","budget","goal","threshold","length","width","height","deterministic","timeout"
ssp,line,3,3,"<= Q(4, 1)",7,,,true,900000
ssp,line,3,3,"<= Q(2, 1)",7,,,true,900000
ssp,line,3,3,"<  Q(2, 1)",7,,,true,900000
ssp,line,96,96,"<= Q(97, 1)",193,,,true,900000
ssp,line,96,96,"<= Q(97, 2)",193,,,true,900000
ssp,line,96,96,"<  Q(97, 2)",193,,,true,900000
ssp,grid,14,224,"<= Q(3150, 112)",,15,15,true,900000
ssp,grid,14,224,"<= Q(3150, 224)",,15,15,true,900000
ssp,grid,14,224,"<  Q(3150, 224)",,15,15,true,900000
ssp,maze,72,119,"<= Q(9912, 120)",,49,25,true,900000
ssp,maze,72,119,"<= Q(4956, 120)",,49,25,true,900000
ssp,maze,72,119,"<  Q(4956, 120)",,49,25,true,900000
