"variant","world","budget","goal","threshold","length","width","height","deterministic","timeout"
pop,line,2,50000,"<= Q(50001, 1)",100001,,,false,180000
pop,line,2,50000,"<= Q(50001, 2)",100001,,,false,180000
pop,line,2,50000,"<  Q(50001, 2)",100001,,,false,180000
pop,grid,4,50244,"<= Q(7963674,25122)",,317,317,false,180000
pop,grid,4,50244,"<= Q(3981837,25122)",,317,317,false,180000
pop,grid,4,50244,"< Q(3981837,25122)",,317,317,false,180000
pop,maze,4,69999,"<= Q(250005,5)",,40001,20001,false,180000
pop,maze,4,69999,"<= Q(250005,10)",,40001,20001,false,180000
pop,maze,4,69999,"< Q(250005,10)",,40001,20001,false,180000

pop,line,2,100000,"<= Q(10000100000,100000)",200001,,,true,180000
pop,line,2,100000,"<= Q(10000100000,200000)",200001,,,true,180000
pop,line,2,100000,"< Q(10000100000,200000)",200001,,,true,180000
pop,grid,4,80400,"<= Q(32240400,80400)",,401,401,true,180000
pop,grid,4,80400,"<= Q(32240400,160800)",,401,401,true,180000
pop,grid,4,80400,"< Q(32240400,160800)",,401,401,true,180000
pop,maze,4,140006,"<= Q(10001100030,100050)",,80005,40003,true,180000
pop,maze,4,140006,"<= Q(10001100030,200010)",,80005,40003,true,180000
pop,maze,4,140006,"< Q(10001100030,200010)",,80005,40003,true,180000
