"variant","world","budget","goal","threshold","length","width","height","deterministic","timeout"
pop,line,2,124,"<= Q(250, 2)",249,,,false,900000
pop,line,2,124,"<= Q(125, 2)",249,,,false,900000
pop,line,2,124,"<  Q(125, 2)",249,,,false,900000
pop,grid,2,399,"<= Q(15200, 399)",,20,20,false,900000
pop,grid,2,399,"<= Q(7600, 399)",,20,20,false,900000
pop,grid,2,399,"<  Q(7600, 399)",,20,20,false,900000
pop,maze,4,14,"<= Q(168, 15)",,7,4,false,900000
pop,maze,4,14,"<= Q(84, 15)",,7,4,false,900000
pop,maze,4,14,"<  Q(84, 15)",,7,4,false,900000
ssp,line,30,30,<= Q(31/1),61,,,false,900000
ssp,line,30,30,"<= Q(31,2)",61,,,false,900000
ssp,line,30,30,"<  Q(31,2)",61,,,false,900000
ssp,grid,5,35,"<= Q(360,35)",,6,6,false,900000
ssp,grid,5,35,"<= Q(180,35)",,6,6,false,900000
ssp,grid,5,35,"<  Q(180,35)",,6,6,false,900000
ssp,maze,21,34,"<= Q(868,35)",,15,8,false,900000
ssp,maze,21,34,"<= Q(434,35)",,15,8,false,900000
ssp,maze,21,34,"<  Q(434,35)",,15,8,false,900000
