"variant","world","budget","goal","threshold","length","width","height","deterministic","timeout"
pop,line,2,4,"<= Q(5, 1)",9,,,true,180000
pop,line,2,4,"<= Q(5, 2)",9,,,true,180000
pop,line,2,4,"<  Q(5, 2)",9,,,true,180000
pop,line,2,188,"<= Q(189, 1)",377,,,true,180000
pop,line,2,188,"<= Q(189, 2)",377,,,true,180000
pop,line,2,188,"<  Q(189, 2)",377,,,true,180000
pop,grid,2,575,"<= Q(26496, 575)",,24,24,true,180000
pop,grid,2,575,"<= Q(13248, 575)",,24,24,true,180000
pop,grid,2,575,"<  Q(13248, 575)",,24,24,true,180000
pop,maze,4,94,"<= Q(6232, 95)",,39,20,true,180000
pop,maze,4,94,"<= Q(3116, 95)",,39,20,true,180000
pop,maze,4,94,"<  Q(3116, 95)",,39,20,true,180000

ssp,line,3,3,"<= Q(4, 1)",7,,,true,180000
ssp,line,3,3,"<= Q(2, 1)",7,,,true,180000
ssp,line,3,3,"<  Q(2, 1)",7,,,true,180000
ssp,line,96,96,"<= Q(97, 1)",193,,,true,180000
ssp,line,96,96,"<= Q(97, 2)",193,,,true,180000
ssp,line,96,96,"<  Q(97, 2)",193,,,true,180000
ssp,grid,14,224,"<= Q(3150, 112)",,15,15,true,180000
ssp,grid,14,224,"<= Q(3150, 224)",,15,15,true,180000
ssp,grid,14,224,"<  Q(3150, 224)",,15,15,true,180000
ssp,maze,72,119,"<= Q(9912, 120)",,49,25,true,180000
ssp,maze,72,119,"<= Q(4956, 120)",,49,25,true,180000
ssp,maze,72,119,"<  Q(4956, 120)",,49,25,true,180000

pop,line,2,124,"<= Q(250, 2)",249,,,false,180000
pop,line,2,124,"<= Q(125, 2)",249,,,false,180000
pop,line,2,124,"<  Q(125, 2)",249,,,false,180000
pop,grid,2,399,"<= Q(15200, 399)",,20,20,false,180000
pop,grid,2,399,"<= Q(7600, 399)",,20,20,false,180000
pop,grid,2,399,"<  Q(7600, 399)",,20,20,false,180000
pop,maze,4,14,"<= Q(168, 15)",,7,4,false,180000
pop,maze,4,14,"<= Q(84, 15)",,7,4,false,180000
pop,maze,4,14,"<  Q(84, 15)",,7,4,false,180000

ssp,line,30,30,<= Q(31/1),61,,,false,180000
ssp,line,30,30,"<= Q(31,2)",61,,,false,180000
ssp,line,30,30,"<  Q(31,2)",61,,,false,180000
ssp,grid,5,35,"<= Q(360,35)",,6,6,false,180000
ssp,grid,5,35,"<= Q(180,35)",,6,6,false,180000
ssp,grid,5,35,"<  Q(180,35)",,6,6,false,180000
ssp,maze,21,34,"<= Q(868,35)",,15,8,false,180000
ssp,maze,21,34,"<= Q(434,35)",,15,8,false,180000
ssp,maze,21,34,"<  Q(434,35)",,15,8,false,180000
